,Mu(eV),Temp(K),ElCond_xx,ElCond_xy,ElCond_yy,ElCond_xz,ElCond_yz,ElCond_zz,Material,Parameter_el,Label,Plottag_el,Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Parameter_sb,Plottag_sb,Kappa_xx,Kappa_xy,Kappa_yy,Kappa_xz,Kappa_yz,Kappa_zz,Parameter,Plottag,ZT
201,0.5534999999999997,300.0,73817.98495,34.60196045,73820.92086,6.655433895,-31.01152512,73770.44146,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-0.0001187035536,7.905629104e-08,3.739261377e-08,7.907230545e-08,-0.0001187018124,2.88556638e-08,3.745871377e-08,2.890879154e-08,-0.0001187564674,seebeck,CsPbI$_{3}$,0.8400251328,-0.000135512522,0.839971146,-0.0001986337131,-0.0007043090117,0.8397688654,kappa,CsPbI$_{3}$,0.3714656000254341
202,0.6034999999999995,300.0,149581.3622,-11.77726863,149576.3898,-28.94437534,-127.0847386,149530.773,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-9.960686495e-05,3.304305204e-08,1.855651391e-08,3.305879415e-08,-9.963776167e-05,1.853287555e-08,1.860202792e-08,1.857252426e-08,-9.967195482e-05,seebeck,CsPbI$_{3}$,1.483872593,0.0001405638369,1.484226994,-0.0001767321621,-0.0005811548087,1.483745516,kappa,CsPbI$_{3}$,0.30004104374835283
203,0.6534999999999993,300.0,276669.2189,-24.47921183,276728.6677,-50.26486667,-175.3972379,276686.1596,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-6.434459426e-05,-2.922948529e-08,-7.959359844e-09,-2.921632251e-08,-6.434115885e-05,-6.737269704e-08,-7.973740849e-09,-6.739352996e-08,-6.433188895e-05,seebeck,CsPbI$_{3}$,1.998283319,0.0003436197027,1.998250312,-0.0004132703087,-0.0004776490553,1.997145729,kappa,CsPbI$_{3}$,0.17196860527745622
204,0.7035,300.0,382662.6242,42.35601603,382683.4656,-62.98940393,-76.438967,382519.3619,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-4.008978516e-05,-5.032107068e-10,1.726472571e-08,-5.01058743e-10,-4.011802277e-05,-1.09294362e-08,1.726654665e-08,-1.094198571e-08,-4.006953393e-05,seebeck,CsPbI$_{3}$,3.007232837,-4.794096229e-05,3.008514951,-0.001066962411,-0.001719414652,3.007358654,kappa,CsPbI$_{3}$,0.06135326835373481
205,0.7534999999999998,300.0,497630.0928,28.40830379,497884.1534,-164.4809889,-181.4590623,497556.9259,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-4.980144695e-05,-7.271512025e-09,1.65534098e-08,-7.270152245e-09,-4.978433546e-05,2.831130546e-08,1.656280762e-08,2.834353101e-08,-4.982564275e-05,seebeck,CsPbI$_{3}$,4.456654336,0.0007276456022,4.455076896,-0.001276379167,-0.001397656956,4.455191194,kappa,CsPbI$_{3}$,0.08308121922230553
206,0.8034999999999997,300.0,729643.3306,104.5507039,729569.3453,-293.895343,-306.2145697,729472.1494,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-4.915671097e-05,-4.615311294e-09,-1.101306211e-08,-4.598101943e-09,-4.908731403e-05,-3.070079197e-08,-1.102902586e-08,-3.068653386e-08,-4.913921465e-05,seebeck,CsPbI$_{3}$,5.422820997,0.0006408986736,5.422658694,-0.0008636288709,-0.0004932913203,5.421412638,kappa,CsPbI$_{3}$,0.09753763853245477
207,0.8534999999999995,300.0,958358.9027,129.4178413,958061.8348,-236.5438447,-142.4159828,958150.5105,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-2.913442488e-05,-8.055852096e-09,-1.936293631e-08,-8.054807287e-09,-2.912150204e-05,-1.894019404e-08,-1.937968333e-08,-1.894641078e-08,-2.909885963e-05,seebeck,CsPbI$_{3}$,6.751115196,0.001652625168,6.749808045,-0.001462072761,-0.001816302491,6.746429203,kappa,CsPbI$_{3}$,0.03614821166936783
208,0.9034999999999993,300.0,1121145.17,284.4561204,1120664.901,-169.6969641,-107.403882,1120313.95,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-2.50945951e-05,-2.222104952e-09,-7.215737853e-09,-2.227548537e-09,-2.51042274e-05,8.945106024e-09,-7.222645264e-09,8.942530339e-09,-2.507075351e-05,seebeck,CsPbI$_{3}$,8.901843434,0.0009701529079,8.90195413,-0.00148080346,-0.00226514882,8.900744468,kappa,CsPbI$_{3}$,0.023793785322994435
209,0.9535,300.0,1355398.091,254.4991573,1355265.578,-133.6782276,-299.374257,1354722.748,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-3.61891697e-05,2.778102693e-09,-7.21558016e-09,2.763599606e-09,-3.625685969e-05,4.770612889e-09,-7.212499934e-09,4.768063599e-09,-3.624156702e-05,seebeck,CsPbI$_{3}$,11.43096764,0.002274555604,11.43055111,-0.001504967174,-0.001133827875,11.42756783,kappa,CsPbI$_{3}$,0.046586744963774136
210,1.0034999999999998,300.0,1800453.569,301.3029058,1800876.688,-138.66057,-334.5024432,1800201.828,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-3.778395364e-05,9.616839494e-09,1.01752097e-08,9.623558491e-09,-3.774673565e-05,-1.119207188e-08,1.017760017e-08,-1.118436886e-08,-3.779761949e-05,seebeck,CsPbI$_{3}$,13.22176864,0.001898835478,13.21573372,-0.002382363198,-0.0008457343438,13.21522204,kappa,CsPbI$_{3}$,0.05832146527921882
