,Mu(eV),Temp(K),Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Material,Parameter,Label
34,-2.3,350.0,-0.002242571324,5.408866265e-10,-5.338634495e-09,5.410211087e-10,-0.002242571396,9.141039939e-09,-5.337793011e-09,9.14000714e-09,-0.002242573052,CsPbBr3,seebeck,350K
35,-2.25,350.0,-0.0020997549,5.420715116e-10,-5.340053015e-09,5.422059713e-10,-0.002099754973,9.144167908e-09,-5.339211558e-09,9.14313532e-09,-0.002099756624,CsPbBr3,seebeck,350K
36,-2.2,350.0,-0.001956908434,5.422322873e-10,-5.340356104e-09,5.423667692e-10,-0.001956908505,9.145354117e-09,-5.339514602e-09,9.144321346e-09,-0.001956910157,CsPbBr3,seebeck,350K
37,-2.15,350.0,-0.001814053316,5.422584924e-10,-5.340412921e-09,5.423929904e-10,-0.001814053387,9.145484099e-09,-5.339571418e-09,9.144451291e-09,-0.001814055039,CsPbBr3,seebeck,350K
38,-2.1,350.0,-0.001671196704,5.422765846e-10,-5.340429207e-09,5.424110796e-10,-0.001671196775,9.145517621e-09,-5.3395877e-09,9.144484811e-09,-0.001671198428,CsPbBr3,seebeck,350K
39,-2.05,350.0,-0.001528339665,5.422780682e-10,-5.340428745e-09,5.424125631e-10,-0.001528339736,9.145525679e-09,-5.339587238e-09,9.144492868e-09,-0.001528341388,CsPbBr3,seebeck,350K
40,-2.0,350.0,-0.001385482584,5.422806941e-10,-5.340427409e-09,5.424151886e-10,-0.001385482655,9.145524169e-09,-5.339585902e-09,9.144491359e-09,-0.001385484307,CsPbBr3,seebeck,350K
41,-1.95,350.0,-0.001242625649,5.422901382e-10,-5.340419728e-09,5.424246314e-10,-0.00124262572,9.145507433e-09,-5.339578223e-09,9.144474625e-09,-0.001242627372,CsPbBr3,seebeck,350K
42,-1.9,350.0,-0.001099769575,5.423391085e-10,-5.340378769e-09,5.42473595e-10,-0.001099769646,9.14541808e-09,-5.339537273e-09,9.144385284e-09,-0.001099771299,CsPbBr3,seebeck,350K
43,-1.85,350.0,-0.000956918039,5.42595861e-10,-5.340163783e-09,5.427303119e-10,-0.0009569181109,9.144948889e-09,-5.339322333e-09,9.143916155e-09,-0.0009569197633,CsPbBr3,seebeck,350K
44,-1.8,350.0,-0.0008140903042,5.439419396e-10,-5.339035072e-09,5.440762034e-10,-0.000814090381,9.142487509e-09,-5.338193865e-09,9.141455104e-09,-0.0008140920326,CsPbBr3,seebeck,350K
45,-1.75,350.0,-0.0006713871738,5.509710238e-10,-5.333097844e-09,5.51104308e-10,-0.0006713872763,9.129594676e-09,-5.332257913e-09,9.128563989e-09,-0.0006713889234,CsPbBr3,seebeck,350K
46,-1.7,350.0,-0.0005293297934,5.869228525e-10,-5.301573554e-09,5.870510469e-10,-0.0005293300286,9.062584231e-09,-5.300740302e-09,9.061562413e-09,-0.0005293316541,CsPbBr3,seebeck,350K
47,-1.65,350.0,-0.0003904546642,7.525921433e-10,-5.128612248e-09,7.526949853e-10,-0.0003904555471,8.727940059e-09,-5.127813429e-09,8.726961201e-09,-0.0003904571019,CsPbBr3,seebeck,350K
48,-1.6,350.0,-0.000264288966,1.235579912e-09,-4.204660811e-09,1.235582025e-09,-0.0002642922367,7.34893046e-09,-4.204020212e-09,7.348110666e-09,-0.0002642940602,CsPbBr3,seebeck,350K
49,-1.55,350.0,-0.0001672768317,1.528507406e-09,-1.50117157e-09,1.52838095e-09,-0.0001672816553,4.5284934e-09,-1.500947813e-09,4.52792055e-09,-0.0001672876373,CsPbBr3,seebeck,350K
50,-1.5,350.0,-0.0001023336188,1.175091769e-09,4.652154609e-10,1.175081787e-09,-0.0001023315706,2.64134207e-09,4.651243369e-10,2.640885285e-09,-0.0001023432582,CsPbBr3,seebeck,350K
